Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
35227.764,1196703,35227,758000000,,-4.191984590171441,1.52567745063543,-0.0006497944968738012,-0.0006037343691028438,0.0015693491358024733,-0.5118561532073387,0.8590695263317671
35227.791,1196704,35227,788000000,,-4.190486508296807,1.52293125737219,-0.0006739460178570092,-0.0005281926809319412,0.001567661842050925,-0.5082512991804349,0.8612072226417059
35227.824,1196705,35227,812000000,,-4.189046604083168,1.5203575403545873,-0.0006909431594624184,-0.0004665782680488032,0.0015517502288499958,-0.5047029453384236,0.8632915563948643
35227.851,1196706,35227,848000000,,-4.186560570523237,1.5160644101201508,-0.0007230970947425738,-0.0003718413556648401,0.0015535545155422822,-0.49780739309217187,0.8672861393941156
35227.887,1196707,35227,875000000,,-4.1842639760286815,1.512207876391902,-0.0007371034086589914,-0.00031642075037330135,0.0015245557936614696,-0.4907792029498645,0.8712825888076936
35227.908,1196708,35227,905000000,,-4.182233379511049,1.5088736955761044,-0.0007174197537746854,-0.0003830335992386196,0.0015046286957727448,-0.48413245470457633,0.8749933460772551
35227.938,1196709,35227,935000000,,-4.180048998165711,1.5053823242405633,-0.0006927164741969936,-0.00048184714232152727,0.0014975203313259656,-0.47603563840387547,0.8794245824546886
35227.971,1196710,35227,968000000,,-4.1777095236812745,1.5018236471550124,-0.0006953513767708926,-0.0004965397258004109,0.001500407278373084,-0.46572005081290146,0.8849306958723538
35227.995,1196711,35227,995000000,,-4.175718702262796,1.4989518467019194,-0.0006685171615110584,-0.0006219194141566291,0.0015142087254797715,-0.45728109020178437,0.8893207098297246
35228.028,1196712,35228,25000000,,-4.1732555111831235,1.4956158163267348,-0.0006729208120755045,-0.0006263203661769349,0.0015142278887750704,-0.44837128363858064,0.893845907774372
35228.058,1196713,35228,52000000,,-4.170761874447902,1.4923490325368851,-0.000683460774577354,-0.0006003682943900706,0.0015080540296128415,-0.4407258151780304,0.8976403072314741
